23474,24530,24928,23633,24620,22420,25729,20935,28393,26606,NA,21824,29615,30982,27968,21964,21539,25334,19677,25155,23580,30309,27664,10911,22470,19803,18429,12949,20429,21906,26198,26174,25263,20094,17125,21579,22006,22625,21993,25266,30068,23410,25014,7571,11848,23927,10171,26745,10664,28102,17645,29349,25304,12070,21801,9581,20435,17580,24223,19881,11330,24545,15427,19190,13624,16774,18115,19799,21067,21729,27064,14651,19487,25957,26939,21759,6129,16247,20448,24178,25150,29612,25201,9629,18024,14875,10770,19581,4194,19204,15609,14017,16091,21469,24329,20343,23750,17361,9963,17970,22575,25812,26070,13632,13884,9974,16525,13766,15456,17160,20853,16978,10847,18014,8971,14579,22365,20569,16130,12393,22057,20025,13543,24461,25537,30331,21912,18441,28998,28448,28761,29430,27853,10748,19955,26170,17090,23527,22828,27990,11239,13121,23929,20646,10205,21576,18784,20885,18995,20403,16045,17562,12420,12709,9470,13195,15349,6046,13687,11273,19322,10354,13287
19409,19951,20516,19424,20503,18352,21379,17638,23799,22296,21824,NA,25359,26758,24954,19449,17986,21381,17367,21829,20052,26238,23945,9288,19135,16639,15827,10954,17166,18555,22180,22157,21636,17480,15430,18674,19046,19664,18970,21614,25686,20088,21373,6866,10390,20635,9030,22633,9575,23882,14918,25085,21867,10448,18368,8083,17182,14995,20347,16644,9327,20556,12200,16061,11573,14758,15231,16470,17591,18226,22878,12234,16554,22112,22784,18894,5103,13091,16748,20046,20973,25368,21005,8888,16047,13158,9878,17169,4066,16280,13764,12803,14234,19075,20877,17765,20524,15205,9149,15617,19229,22065,22271,12291,12419,8839,14819,12357,13926,15454,18081,15339,9606,15438,8001,12403,19200,17860,13765,10563,18617,17182,11607,20279,21812,25713,18867,15562,24665,23979,24547,25029,23725,9936,17987,22472,14654,20176,19510,24015,10108,11945,20541,18154,8473,18227,16504,18081,16028,17249,13290,14825,10477,11851,8950,12317,14353,5528,12614,10190,17023,9438,11854
29137,30405,31496,29229,30794,27520,32811,26520,36475,34262,29615,25359,NA,39457,34624,25874,27281,31939,23665,31231,29070,38337,34817,13448,28253,23412,22976,16354,25912,28273,33436,33434,32047,24695,21320,26542,26622,28324,26430,31878,38280,29586,31877,9292,15323,29765,13274,32712,13274,35258,23208,37481,33145,16239,28908,12766,27596,22711,32264,26938,15252,32558,21090,24063,16768,20407,22571,24169,26687,27811,33545,17994,24430,31921,33373,26168,7574,20606,26087,31338,31692,37966,31942,12686,23209,19228,13809,24837,5457,25254,20490,18730,21292,26755,30160,25108,30046,20725,11692,22046,28604,32565,32866,18274,17751,13514,21598,18771,20944,23118,27538,22624,15206,23958,11923,19256,29525,26820,21018,16272,29040,26593,18134,30357,31795,38504,24951,22795,36406,35805,36458,37608,34744,13766,25899,32967,21531,29732,28979,36059,14406,16743,31022,27249,13296,28046,24842,26556,24957,27202,21336,23633,16883,16778,12670,16878,19272,8057,17565,14182,25421,13422,17758
31137,32446,33306,31107,33113,29599,35032,28171,38974,36532,30982,26758,39457,NA,36911,26999,28198,33278,24913,33677,31008,40857,36963,14522,30419,24949,25034,17601,28143,30761,36025,36151,34576,26062,22145,28054,28077,29994,27741,34114,40757,31623,34183,10067,16624,31738,14461,34950,14122,37579,25189,39972,35428,17044,30693,13716,29518,24236,34576,28822,16313,34864,22675,26202,18104,21721,24458,25965,28837,30071,35863,19448,26415,33760,35362,27685,7864,21831,27645,33327,33490,40368,34047,12998,23722,19743,13968,25776,5489,26508,21166,19416,22544,27823,31476,26248,31574,21627,12050,23305,30650,34609,34924,19025,18278,14051,22531,19765,22119,24509,29469,24054,16086,24856,11991,19859,30678,27664,21952,16674,30547,27927,18939,31922,33441,40752,26058,24250,38432,37741,38471,39857,37027,14064,26767,34620,22229,31335,30309,38027,14907,17405,32880,28159,13987,29229,25290,27410,26307,28621,22589,25117,18040,17310,13032,17391,19912,8125,18223,14821,26790,13946,18556
27634,28647,29097,27406,29135,26147,30628,24615,33844,31764,27968,24954,34624,36911,NA,24349,24687,29197,22206,30354,27521,35979,32679,13028,27087,23012,22260,15828,24426,26875,31533,31665,30550,23775,20036,25075,25221,26963,25283,30187,35724,27973,30042,9162,14804,28038,12664,31055,12625,32894,21921,35042,30842,15095,26660,11769,25584,21484,29769,24637,14137,30041,18955,23307,16365,19656,22144,23304,25504,26401,31614,17351,23325,30212,31244,24945,6802,19135,24278,28934,29248,35281,29540,11190,20661,17225,12214,22711,4839,22751,18203,16696,19349,24473,27495,23127,27407,19326,10920,20825,26598,30195,30458,16606,15954,12031,19674,17115,18871,20941,25546,20815,13676,21077,10202,17092,26262,23936,19053,14122,26125,23782,15854,27961,30037,35787,23750,21764,33636,32854,33574,34784,32495,12340,23692,30357,19517,27488,26542,33012,12924,14875,28579,24641,12646,25792,22713,24651,22511,24542,19646,21706,15750,14915,11330,15296,17891,6928,16017,12939,22999,12023,16049
19753,20780,20976,20335,20853,18419,22089,18275,24537,22935,21964,19449,25874,26999,24349,NA,17884,21848,17129,21579,19948,26353,24046,9238,19218,16908,15930,10671,17093,18630,22544,22554,22013,18041,16020,20035,20642,20280,19595,22376,26613,20765,22204,6906,11063,21415,9696,23399,10250,24424,15773,25708,22764,10453,18224,7855,17160,14817,20419,16313,8777,20667,12240,16651,12190,15243,15639,17424,18299,18824,23725,12822,17365,22233,23442,18619,5167,13711,16847,20577,21322,26003,21386,9405,17002,13893,10434,18106,4260,17479,14450,13320,15069,19706,21620,18201,21110,15998,9752,16432,20418,22592,22855,12524,12657,8551,15294,12129,14051,15685,18252,15415,9787,16163,8266,12813,20089,18830,13835,11082,19274,18008,12002,20604,22357,26380,18988,16353,25345,24564,25222,25692,24360,9885,17804,22694,14641,20552,19653,24592,9849,11796,20665,18191,8134,18414,16228,17763,16198,17567,13078,14796,10194,12582,9749,12865,14879,5798,13072,10712,18000,9951,12952
20893,21544,22609,20713,21610,19867,23325,18134,25634,24317,21539,17986,27281,28198,24687,17884,NA,24135,16659,22767,20645,27082,24769,10165,20822,17399,17037,12896,19540,20257,24063,23992,23012,17311,14551,17959,18652,19979,18907,22172,26731,20677,22555,5914,9986,20147,8415,22788,7717,24543,15552,26344,22615,12300,21633,9301,20344,16299,23224,20212,11883,23454,15564,16844,11272,13716,15699,16746,18438,19346,23134,12039,16288,23118,23864,19106,5580,14469,18717,22036,22513,26523,22821,8352,15919,13550,9235,17283,3630,17401,13980,12355,14141,18056,21024,17286,20697,14296,8011,14116,18932,22682,22914,13505,12907,10745,15054,14145,14707,16178,19532,16237,10787,16610,7880,12876,20358,18503,14661,10976,19948,17803,11768,21916,22705,27502,18138,15803,25674,25246,25637,26316,24230,9979,18548,23788,16359,21401,21303,25707,10355,11365,22451,19634,10986,20907,18326,19855,17802,19156,16114,17667,12802,10378,7480,11022,13065,5288,11491,9324,16472,8629,11541
24868,26085,26615,25097,26287,23876,28185,22211,30868,28877,25334,21381,31939,33278,29197,21848,24135,NA,19713,26818,24773,32269,29348,12051,24636,20818,20276,14362,22872,24677,28716,28812,27529,21387,17993,22439,22740,24417,22822,26963,32254,25025,27141,7926,13069,24993,11405,27841,10665,29849,19763,31550,27553,13907,25001,10696,23863,19641,27522,23021,13000,27798,18095,21173,14664,17336,19637,21019,23029,23870,28606,15634,20882,26971,28255,22192,6130,17393,22073,26321,26407,31804,27207,9954,18771,15673,10875,20511,4125,20443,16289,14839,17175,21688,25065,20625,24715,17148,9469,18142,23411,27292,27551,14684,14114,10944,17452,15233,16836,18737,23036,18422,12038,19649,9227,15273,24214,21895,17527,13234,23920,21637,14330,25427,26863,32559,21149,19145,30491,30179,30465,31364,29266,10886,20931,27583,17828,25061,24227,30138,11399,13153,25842,22701,11622,24271,20575,22644,21078,22984,18246,20013,14316,13082,9680,13650,15895,6247,14298,11783,20533,10448,14423
18036,18619,19385,17941,19402,17142,20291,18198,23844,22564,19677,17367,23665,24913,22206,17129,16659,19713,NA,21541,22155,25601,23411,8806,18393,15167,14239,10431,17626,18985,22547,22209,21935,16434,14351,17228,17394,18537,17077,22095,25582,20713,21958,6717,9886,18773,8389,20802,8949,23574,15739,24760,21855,8835,16171,7535,15487,13273,20286,16735,10700,20530,13554,15325,10919,14192,14325,15536,18438,18709,23285,13539,17822,20410,20972,16991,5025,12332,15893,20520,21319,24944,21686,7912,14482,11655,8880,15426,3481,17524,14294,13769,15305,17839,19452,16442,19067,14580,8253,14960,20457,21951,22214,10626,11489,7918,12594,10507,14094,15447,18277,15244,9840,13595,6895,11195,17482,16023,12183,9478,18937,17538,11737,19670,20447,24216,16976,15106,24526,24051,24376,24926,23851,8380,16088,20615,12918,18941,17776,22443,10533,12387,20444,16141,7866,16325,15273,16553,17442,18122,14522,15843,11773,10326,7954,10950,12475,4759,10911,9137,17085,9958,12558
24814,25600,25985,24317,26474,23825,27936,23483,31842,30107,25155,21829,31231,33677,30354,21579,22767,26818,21541,NA,26210,33943,31123,12231,25392,21146,20760,15405,25451,26883,30448,30883,30209,21954,17831,22651,22979,24953,22833,29314,33559,27208,29435,8201,13115,24767,11147,27600,10162,30894,21245,33342,28777,13304,23976,10683,23180,19539,28323,23857,14174,28510,18927,21637,14790,17484,19926,21161,24972,25804,30326,17421,22602,26959,27972,22260,5794,16263,21524,27075,27511,32901,28593,9296,17511,14476,10186,19539,3801,21981,17271,16269,18506,20924,23993,19836,23695,17201,9178,17902,25229,28124,28532,14415,13732,10626,16520,14481,18176,19997,24550,19905,13148,17385,7152,13194,22437,20190,16052,11383,24185,21643,14289,25199,26645,32306,21163,19267,31748,31054,31639,32419,30885,10054,20602,27121,16824,25088,23765,29887,12538,14167,27321,21413,11591,23204,20012,22513,21889,23591,19997,21624,16332,11568,8738,12937,15040,4989,13385,11010,20833,11579,15691
23977,24841,25064,23530,25714,22859,26356,22337,30119,28221,23580,20052,29070,31008,27521,19948,20645,24773,22155,26210,NA,31184,28157,11405,24470,19502,19090,13460,22387,25120,29688,28645,27715,20834,17488,21543,21355,23505,21139,27333,31441,25461,27341,8546,13279,23903,11402,26540,11172,28826,20503,30495,27140,12426,22279,10767,21691,18709,26340,21779,13442,26577,17525,20920,14590,17812,19618,20740,23953,24539,28716,16793,22566,24819,26246,20243,5847,16583,21031,26006,25883,30728,26547,9057,16954,13550,9381,18475,3610,20076,15602,14775,17373,20347,23130,19403,23259,16560,8986,18010,24014,26357,26609,12848,12496,9082,15154,13070,16024,17694,22253,17545,11207,17010,7854,13953,21903,19487,15616,11395,23190,21076,13778,23968,25386,30406,20203,18643,29428,29037,29290,30423,28583,9059,19088,25396,15467,22900,21963,27889,11028,12945,24951,20724,10498,21718,18864,20608,20723,22289,18010,19575,14528,12117,9144,12847,14617,5242,13396,11191,20369,10769,14353
30430,31583,32532,30532,32434,28667,34454,28642,39128,36766,30309,26238,38337,40857,35979,26353,27082,32269,25601,33943,31184,NA,37987,14129,29401,24129,24316,17042,28379,30711,35773,36174,34525,25224,21364,27252,27386,29103,26826,34111,40821,31863,34401,9779,16119,31157,13978,34393,13861,38015,25438,40266,35842,16267,29693,13124,28454,23445,34679,29008,16493,34947,23232,25366,17728,21188,23829,25356,29012,30185,36415,19980,26703,33594,34789,27632,7724,21363,26987,33508,33976,40719,34497,12720,23188,19376,13838,25370,5316,27049,21804,20295,23382,27394,31223,25875,31133,21185,11712,22828,31159,35116,35443,18522,17856,13595,22066,19138,22618,24918,29815,24413,16594,24350,11706,19445,30051,27186,21529,16394,31031,28473,19768,31515,32382,39774,25415,23720,38744,38069,38733,40038,37524,13825,26075,33933,21709,30732,29626,37337,15690,18317,32877,27332,13225,28324,24294,26316,26573,28919,22830,25345,18220,17064,12807,17003,19432,7956,17982,14404,27273,14592,19499
27289,28339,29212,27296,29010,25661,30932,25845,35308,33423,27664,23945,34817,36963,32679,24046,24769,29348,23411,31123,28157,37987,NA,12827,26379,22004,21920,15627,25981,27727,32222,32659,31365,22730,19216,24597,24969,26138,24509,30963,37005,28890,31208,8550,14336,27907,12337,30889,12103,34404,22940,36560,32344,14577,26670,11537,25422,21084,31254,26246,15059,31562,21091,22671,15824,19006,21194,22679,26202,27200,32775,18202,23998,30946,31716,25542,6845,18873,24252,30296,31028,36961,31300,11323,20837,17613,12585,22943,4785,24666,19932,18552,21295,24669,28254,23428,27887,19325,10727,20498,28194,31845,32225,16772,16351,12570,19890,17374,20692,22731,27093,22371,15148,21710,10413,17168,26862,24434,19132,14598,28057,25546,17790,28826,29417,36089,23130,21489,35411,34675,35388,36460,34243,12551,23640,30781,19843,28003,26905,33735,14529,16696,30075,24425,11974,25522,22053,24015,23984,26118,20850,23178,16924,15079,11313,15119,17372,7087,15792,12655,24444,13280,17738
11451,11968,11482,11205,12427,11452,12629,9818,13753,12760,10911,9288,13448,14522,13028,9238,10165,12051,8806,12231,11405,14129,12827,NA,12657,10607,11022,8339,11810,13081,13820,13763,13215,10094,8160,10358,10405,11262,10406,12401,14146,11514,12753,4175,6470,11192,5627,12500,4923,13178,9640,13985,12206,6750,11141,5244,11143,9439,12501,10292,6466,12595,8162,10800,7295,8381,9899,10152,11261,11560,12801,7892,10068,11556,12266,9464,2487,7301,9768,11522,11280,13909,11710,3649,7129,5773,3745,8117,1797,8248,6018,5706,6856,8889,9957,8405,10075,7296,3963,8116,10220,10892,10970,6122,5458,4400,6562,6259,6938,7771,10142,8069,4839,7084,2991,5216,8623,7861,6991,4365,9128,7525,4523,10862,12058,14277,9210,9032,13216,12897,13157,13608,12787,3900,8526,11613,6913,10896,10260,12885,4297,4904,11390,9416,5825,10578,8758,10090,9010,9703,8576,9162,7166,4494,3436,5500,6306,2139,5842,4958,7286,4054,5960
23933,24857,24472,22970,25454,23362,26041,20376,28611,26707,22470,19135,28253,30419,27087,19218,20822,24636,18393,25392,24470,29401,26379,12657,NA,20700,21284,14900,22696,25983,30091,28638,27666,20779,16858,21880,21407,23316,21370,26090,29781,24067,26586,8560,13371,23230,11447,25959,10563,26998,19671,29109,25573,13230,22767,10943,22566,19218,25547,21047,13007,25759,16387,22177,14841,17677,20283,20987,23583,24335,26796,15910,21033,23928,25516,19453,5446,15652,20492,24415,24033,28982,24688,8009,15750,12606,8097,17624,3465,17975,13303,12332,14964,19133,21560,18255,21988,15613,8448,17370,22005,24312,24536,12518,11570,9130,13870,13001,14058,15833,21099,16164,9858,15292,6315,12007,19937,17567,14491,9815,20304,18091,10357,22908,25167,29905,19507,18593,27610,26874,27451,28544,26480,8474,18578,24815,15144,22708,21951,27248,9192,10432,23892,19833,11524,21614,18524,21345,19063,20457,17554,18850,14625,10563,8099,11969,13465,4532,12230,10547,17674,8922,12396
19819,20580,19984,19161,20867,19349,21437,16558,23063,21646,19803,16639,23412,24949,23012,16908,17399,20818,15167,21146,19502,24129,22004,10607,20700,NA,17074,12509,18445,20451,22982,22906,22771,18023,14496,18200,18425,19819,18944,21726,24391,19829,21490,7041,10994,19307,9175,21690,8753,22205,15724,23661,20727,10839,18210,8172,17889,15572,20122,16279,9832,20349,12360,17905,12633,14566,16771,17538,18968,19302,21986,13159,17137,20043,21071,16478,4202,12522,16478,19523,19568,23500,19930,6597,13346,10985,7321,14815,2937,14657,11205,9927,12133,15981,17733,14983,17677,13700,7455,14634,17688,19793,20008,10537,9740,7315,11950,10492,11488,13008,16830,13323,8173,12170,5149,9374,16044,14467,11836,7488,15946,13996,7630,18795,21292,24572,16963,15521,22646,22180,22505,23193,22013,7091,15126,20274,12496,18657,17722,21990,7539,8381,19367,16224,9683,18043,15532,17892,15099,16305,13972,15053,11715,8505,6410,9687,11264,3523,10147,8485,13957,7162,9992
19671,20659,20030,19262,21341,19519,21754,16544,23659,21842,18429,15827,22976,25034,22260,15930,17037,20276,14239,20760,19090,24316,21920,11022,21284,17074,NA,13651,19461,21279,23508,23454,22483,15976,12976,17748,17651,18145,17360,20846,24393,19088,21489,7046,11523,20337,9896,22043,9191,22555,16583,24189,21794,10456,18671,8622,18593,15407,21145,17033,10111,21202,13298,18242,12474,14286,16867,16931,18794,19845,21669,12588,16609,19533,21360,15833,4025,12289,16450,19822,19707,24241,19928,6275,13091,10729,6695,14606,2932,14232,10626,9809,12226,16326,18454,15811,18834,12740,7110,14860,18669,20237,20315,11092,9700,8248,12483,11600,12167,13894,17562,14159,8917,13001,5070,9486,15644,14462,12229,8031,15929,13421,8705,18851,20913,24943,15611,15811,22940,22236,22786,23771,22114,7178,15088,20571,12398,18930,18466,22628,7220,8437,19631,15856,8798,17199,14233,16277,14716,15900,13541,14950,11182,7787,5634,9433,10519,3878,10065,8634,13187,6680,9933
13899,14421,14124,13203,14995,13791,15283,11842,16619,15497,12949,10954,16354,17601,15828,10671,12896,14362,10431,15405,13460,17042,15627,8339,14900,12509,13651,NA,14773,15051,16498,16403,16383,11326,8988,11887,11967,12796,12376,14785,17086,13456,14888,4673,7469,13057,6354,14660,5360,15577,11489,16927,14687,7742,13428,6106,13340,11114,15080,12738,8551,15161,9774,12656,8517,9744,11538,11739,13322,13855,15066,9166,11567,14079,14833,11511,3007,8137,11721,14080,14221,16727,14124,3616,8467,7114,4174,9826,1939,10029,7035,6695,8145,10834,12042,10311,12139,8943,4793,9715,12605,13928,14081,7836,6934,6168,8181,8112,8676,9747,12651,10446,6413,8268,3049,5640,10157,9522,8357,4822,10784,7708,5354,13666,14857,17490,11240,11082,16226,15618,16155,16668,15577,4721,10479,14092,8744,13383,12702,15580,5373,5704,14263,10888,7019,12294,10680,12185,10250,11202,10670,11329,9236,2858,2050,5600,6294,2181,5720,5145,5642,4114,6227
